Samling,Startdato,Slutdato,år,samling, ftb_intern, samlingsfortegnelse, partinavn_i_samling
19531,1953-10-06T00:00:00Z,1954-10-05T00:00:00Z,1953,1, ,S,socialdemokratiet
19531,1953-10-06T00:00:00Z,1954-10-05T00:00:00Z,1953,1, ,V,venstre
19531,1953-10-06T00:00:00Z,1954-10-05T00:00:00Z,1953,1, ,KF,det konservative folkeparti
19531,1953-10-06T00:00:00Z,1954-10-05T00:00:00Z,1953,1, ,RV,det radikale venstre
19531,1953-10-06T00:00:00Z,1954-10-05T00:00:00Z,1953,1, ,DK,Danmarks kommunistiske parti
19531,1953-10-06T00:00:00Z,1954-10-05T00:00:00Z,1953,1, ,DR,Danmarks retsforbund
19531,1953-10-06T00:00:00Z,1954-10-05T00:00:00Z,1953,1, ,UP,"udenfor partierne, valgt i grønland"
19531,1953-10-06T00:00:00Z,1954-10-05T00:00:00Z,1953,1, ,Sl.,slesvigsk parti
19541,1954-10-05T00:00:00Z,1955-10-04T00:00:00Z,1954,1, ,S,socialdemokratiet
19541,1954-10-05T00:00:00Z,1955-10-04T00:00:00Z,1954,1, ,V,venstre
19541,1954-10-05T00:00:00Z,1955-10-04T00:00:00Z,1954,1, ,KF,det konservative folkeparti
19541,1954-10-05T00:00:00Z,1955-10-04T00:00:00Z,1954,1, ,RV,det radikale venstre
19541,1954-10-05T00:00:00Z,1955-10-04T00:00:00Z,1954,1, ,DK,Danmarks kommunistiske parti
19541,1954-10-05T00:00:00Z,1955-10-04T00:00:00Z,1954,1, ,DR,Danmarks retsforbund
